id,track_name,artist_names,source,release_date,duration,peak_rank,previous_rank,days_on_chart,rank,streams
1roCmBlcpV7LzsmB7pmCyt,Let Me Down Slowly (feat. Alessia Cara),"Alec Benjamin, Alessia Cara",P2019,2011-10-18,285,73,187,30,159,1867510702
06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,Wham!,Sony Music CG,2023-07-07,266,2,195,156,160,1867446419
1ulza3FB6CpNkTSJsmrA6l,Ket Nguyet,Đông Nhi,Universal Music Indochina,1984-11-29,263,23,23,2,161,1867296630
4TfH2Syxsx2cAJShY8u6bT,Anh Luôn Là Lý Do,ERIK,Hi Entertainment,2021-04-01,216,17,192,90,162,1850589212
5pcjystBtalYeqaiXCcgEY,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"Taylor Swift, Maren Morris",Taylor Swift,2021-05-21,216,87,103,6,163,1850589212
40T5GIqQ1CegGm2PTEl8Bu,idontwannabeyouanymore,Billie Eilish,Darkroom,2016-12-09,245,70,-1,303,164,1831385410
2iXclx3wUBGDnVXseACeS5,Cho Em Một Lần Yêu,Đông Nhi,6th Sense Entertainment JSC,2016-12-09,245,91,105,2,165,1831385410
6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,Kemosabe Records/RCA Records,2021-06-25,173,40,171,333,166,1830599216
5vFlFRtQE31wtUFl6lRWMJ,Nhớ Người Hay Nhớ,"Châu Đăng Khoa, Khói, Sofia",NhacCuaTui,2021-05-21,229,97,160,42,167,1830048246
4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,Warner Records,2014-11-28,160,103,196,245,168,1828818825
5a0nHa7F4S9hb0Zi0zLS8w,SUGA's Interlude,"Halsey, SUGA, BTS",Capitol Records,2019-12-13,207,1,53,27,169,1826030560
2klsSb2iTfgDh95Ak9uWY2,Gái Độc Thân,tlinh,Universal Music Indochina Distributed Labels,2017-12-08,212,15,168,568,170,1824458719
2qMPzm1zqE6RadT3UHkjCR,Cô Gái Vàng (feat. Tùng Viu),"HuyR, Tùng Viu",Yin Yang Media,2020-09-18,187,109,166,29,171,1821076594
5Qg0xK4s85tINbQcJD3GDq,badbye (with eAeon),"RM, eAeon",BIGHIT MUSIC,2018-08-17,187,9,74,11,172,1820391432
3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,Niall Horan,Capitol Records,2019-11-13,245,184,-1,2,173,1813110278
37TSJmYKLxXmx8OehFpqMN,Respect,BTS,BIGHIT MUSIC,2020-02-08,173,13,161,41,174,1795866340
52oyR8Wjhdzg7zucr8keYl,Đường Một Chiều,Huỳnh Tú,12 trái lê,2019-09-06,150,108,194,395,175,1787435098
2gT5LL3uRANxvvmDxaULbQ,Thương Em Là Điều Anh Không Thể Ngờ,Noo Phước Thịnh,Sony Music Entertainment,2018-12-24,150,3,197,901,176,1787124436
1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",XO / Republic Records,2020-03-20,191,14,150,599,177,1784883337
1diS6nkxMQc3wwC4G1j0bh,We're Good,Dua Lipa,Warner Records,2021-04-23,191,58,126,48,178,1784883337
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,Taylor Swift,2022-10-21,201,2,159,103,179,1781755117
1FEiijYPJtyswChfcpv3p0,Summertime Sadness,Lana Del Rey,Polydor Records,2011-01-01,265,179,197,3,180,1780478493
75MNhvTCCKsST3YqqUiU9r,Shivers,Ed Sheeran,Atlantic Records UK,2021-09-13,208,10,16,22,181,1774636092
50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,Atlantic Records UK,2021-10-25,208,10,195,259,182,1774636092
1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",Atlantic Records UK,2017-08-11,181,81,-1,54,183,1755913366
